sample_id,scenario,num_candidates,num_positive,num_negative,positive_rate,time_s
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005_easy,real_previous_registration,2000,242,1758,0.121,0.1212966442108154
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005_easy,real_previous_registration,1353,258,1095,0.1906873614190687,0.0451326370239257
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_easy,real_previous_registration,1353,658,695,0.4863266814486326,0.0608584880828857
real_20260626_155755_pallet_rack_cluster021_ransac_icp_voxel005_hard,real_previous_registration,1353,280,1073,0.2069475240206947,0.046382188796997
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_easy,real_previous_registration,1353,444,909,0.328159645232816,0.0414643287658691
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_hard,real_previous_registration,1353,363,990,0.2682926829268293,0.0415236949920654
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_easy,real_previous_registration,1349,203,1146,0.1504818383988139,0.0414509773254394
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_medium,real_previous_registration,1351,375,976,0.2775721687638786,0.0409393310546875
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_easy,real_previous_registration,1353,122,1231,0.090169992609017,0.0517599582672119
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_medium,real_previous_registration,1353,507,846,0.3747228381374722,0.0486938953399658
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_hard,real_previous_registration,1292,94,1198,0.0727554179566563,0.0470762252807617
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_easy,real_previous_registration,1055,291,764,0.2758293838862559,0.0374674797058105
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_medium,real_previous_registration,1302,242,1060,0.1858678955453149,0.0376322269439697
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_hard,real_previous_registration,848,60,788,0.070754716981132,0.03108811378479
real_20260703_123647_table_metallique_cluster018_ransac_icp_voxel005_easy,real_previous_registration,1837,102,1735,0.0555253130103429,0.0935394763946533
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_easy,real_previous_registration,816,168,648,0.2058823529411764,0.028165578842163
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_medium,real_previous_registration,881,303,578,0.3439273552780931,0.0265915393829345
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_hard,real_previous_registration,873,77,796,0.0882016036655212,0.0257980823516845
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_easy,real_previous_registration,882,645,237,0.7312925170068028,0.0306289196014404
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_medium,real_previous_registration,882,162,720,0.1836734693877551,0.0283911228179931
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_hard,real_previous_registration,882,259,623,0.2936507936507936,0.0282683372497558
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005_easy,real_previous_registration,882,598,284,0.6780045351473923,0.0279328823089599
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005_medium,real_previous_registration,882,285,597,0.3231292517006803,0.0335309505462646
real_20260706_122425_metal_tab2_cluster009_part1_ransac_icp_voxel005_easy,real_previous_registration,1400,197,1203,0.1407142857142857,0.0636630058288574
real_20260706_122425_metal_tab2_cluster009_part1_ransac_icp_voxel005_medium,real_previous_registration,1578,1150,428,0.7287705956907478,0.0620689392089843
real_20260706_122711_metal_tab2_cluster009_part1_refined_from_identity_easy,real_previous_registration,1791,1195,596,0.6672250139586823,0.0651478767395019
real_20260706_122711_metal_tab2_cluster009_part1_refined_from_identity_medium,real_previous_registration,1791,331,1460,0.1848129536571747,0.0745961666107177
real_20260706_122711_metal_tab2_cluster009_part1_refined_from_identity_hard,real_previous_registration,1753,99,1654,0.0564746149458071,0.0669131278991699
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1_medium,real_previous_registration,697,55,642,0.078909612625538,0.0249104499816894
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1_hard,real_previous_registration,697,230,467,0.3299856527977044,0.0264091491699218
real_20260706_145031_table2_cluster004_table2_refined_from_identity_easy,real_previous_registration,1050,443,607,0.4219047619047619,0.0402908325195312
real_20260706_145031_table2_cluster004_table2_refined_from_identity_medium,real_previous_registration,1050,275,775,0.2619047619047619,0.0361642837524414
real_20260706_145031_table2_cluster004_table2_refined_from_identity_hard,real_previous_registration,1050,172,878,0.1638095238095238,0.0360805988311767
real_20260706_150131_table3_cluster004_table3_refined_from_identity_easy,real_previous_registration,999,76,923,0.076076076076076,0.0344700813293457
real_20260706_150131_table3_cluster004_table3_refined_from_identity_medium,real_previous_registration,1000,88,912,0.088,0.0321059226989746
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity_easy,real_previous_registration,1831,156,1675,0.085199344620426,0.0867836475372314
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity_medium,real_previous_registration,1881,307,1574,0.1632110579479,0.0823824405670166
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity_hard,real_previous_registration,1887,300,1587,0.1589825119236884,0.0793774127960205
real_20260706_155439_table_ur10_cluster000_table2_refined_from_identity_easy,real_previous_registration,2000,236,1764,0.118,0.0704281330108642
real_20260706_155439_table_ur10_cluster000_table2_refined_from_identity_medium,real_previous_registration,2000,263,1737,0.1315,0.0665709972381591
real_20260706_155439_table_ur10_cluster000_table2_refined_from_identity_hard,real_previous_registration,2000,458,1542,0.229,0.0666677951812744
real_20260706_163516_mir_charger_cluster025_ransac_icp_voxel005_easy,real_previous_registration,319,40,279,0.1253918495297805,0.0152201652526855
real_20260706_163516_mir_charger_cluster025_ransac_icp_voxel005_medium,real_previous_registration,319,135,184,0.4231974921630094,0.0112385749816894
real_20260706_163705_mir_charger_cluster025_refined_from_identity_hard,real_previous_registration,319,33,286,0.1034482758620689,0.011085033416748
real_20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2_medium,real_previous_registration,887,91,796,0.1025930101465614,0.0385971069335937
